X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Madison County,-32%,+10%,N/A,-29%,-35%,+10%
Marion County,-45%,-5%,+50%,-35%,-38%,+11%
Marshall County,-31%,+7%,N/A,-19%,-30%,+17%
Martin County,-53%,-8%,N/A,N/A,-51%,N/A
Miami County,-26%,-9%,N/A,N/A,-35%,+16%
Monroe County,-49%,-12%,+35%,-33%,-40%,+12%
Montgomery County,-23%,-9%,N/A,-28%,-33%,+14%
Morgan County,-27%,+8%,N/A,N/A,-31%,+19%
Newton County,-18%,N/A,N/A,N/A,-27%,N/A
Noble County,-25%,+1%,N/A,N/A,-37%,+22%
Ohio County,N/A,N/A,N/A,N/A,-49%,N/A
Orange County,-48%,-20%,N/A,N/A,-48%,N/A
Owen County,-26%,-7%,N/A,N/A,-27%,N/A
Parke County,-53%,+10%,N/A,N/A,-48%,N/A
Perry County,-57%,+85%,N/A,N/A,-41%,N/A
Pike County,-54%,+8%,N/A,N/A,-56%,N/A
Porter County,-43%,+1%,+160%,-35%,-37%,+12%
Posey County,-27%,+0%,N/A,N/A,-18%,-1%
Pulaski County,-7%,-20%,N/A,N/A,-48%,N/A
Putnam County,-28%,-14%,N/A,N/A,-26%,+11%
Randolph County,-26%,-12%,N/A,N/A,-23%,+8%
Ripley County,-51%,-15%,N/A,N/A,-30%,+0%
Rush County,-39%,-9%,N/A,N/A,-34%,N/A
Scott County,-26%,+1%,N/A,N/A,-38%,+3%
Shelby County,-37%,-4%,N/A,-51%,-38%,+21%
Spencer County,-44%,+19%,N/A,N/A,-27%,N/A
St. Joseph County,-43%,-4%,+104%,-24%,-39%,+11%
Starke County,-23%,+11%,N/A,N/A,-26%,N/A
Steuben County,-44%,+1%,N/A,-32%,-36%,+18%
Sullivan County,-38%,-5%,N/A,N/A,-24%,N/A
Switzerland County,N/A,-20%,N/A,N/A,-54%,N/A
Tippecanoe County,-46%,-12%,+39%,+3%,-43%,+13%
Tipton County,-35%,-2%,N/A,N/A,-34%,N/A
Union County,-38%,N/A,N/A,N/A,-48%,N/A
Vanderburgh County,-49%,-3%,+29%,-63%,-34%,+12%
Vermillion County,-31%,+0%,N/A,-28%,-27%,N/A
Vigo County,-46%,-8%,-7%,+5%,-35%,+11%
Wabash County,-35%,-9%,N/A,N/A,-31%,+8%
Warren County,N/A,N/A,N/A,N/A,-56%,N/A
Warrick County,-35%,-13%,N/A,N/A,-34%,+24%
Washington County,-40%,-18%,N/A,N/A,-24%,+11%
Wayne County,-47%,-9%,N/A,-27%,-32%,+11%
Wells County,-30%,+6%,N/A,N/A,-28%,+11%
White County,-25%,-8%,N/A,-34%,-32%,+6%
Whitley County,-32%,-12%,N/A,N/A,-38%,+21%
