X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Nottoway County,-30%,+40%,N/A,N/A,-16%,N/A
Orange County,-21%,+4%,N/A,N/A,-25%,+11%
Page County,-29%,-2%,-29%,N/A,-33%,N/A
Patrick County,-20%,+19%,N/A,N/A,-26%,N/A
Petersburg,-25%,-3%,N/A,-8%,-24%,+18%
Pittsylvania County,-14%,+10%,N/A,N/A,-21%,+17%
Poquoson,-16%,-7%,N/A,N/A,-54%,N/A
Portsmouth,-17%,-4%,+12%,+9%,-30%,+10%
Powhatan County,-35%,-32%,N/A,N/A,-34%,+8%
Prince Edward County,-34%,-17%,N/A,N/A,-31%,N/A
Prince George County,-25%,-8%,N/A,-28%,-23%,+20%
Prince William County,-44%,-18%,+35%,-40%,-39%,+16%
Pulaski County,-16%,+1%,N/A,N/A,-32%,+15%
Radford,-65%,-13%,N/A,N/A,-33%,N/A
Rappahannock County,N/A,N/A,N/A,N/A,-37%,N/A
Richmond,-53%,-7%,+34%,-31%,-39%,+12%
Richmond County,-25%,-25%,N/A,N/A,-33%,N/A
Roanoke,-45%,-5%,+6%,-32%,-33%,+10%
Roanoke County,-30%,-7%,N/A,N/A,-35%,+11%
Rockbridge County,-32%,N/A,N/A,-31%,-28%,N/A
Rockingham County,-33%,-9%,+25%,-44%,-31%,+11%
Russell County,-37%,-22%,N/A,N/A,-19%,N/A
Salem,-30%,-2%,N/A,N/A,-30%,-1%
Scott County,-24%,-9%,N/A,N/A,-26%,N/A
Shenandoah County,-29%,-5%,N/A,-36%,-37%,+20%
Smyth County,-30%,+4%,N/A,-14%,-15%,+4%
Southampton County,-44%,-1%,N/A,N/A,-15%,N/A
Spotsylvania County,-41%,-7%,N/A,N/A,-33%,+12%
Stafford County,-26%,-18%,+54%,N/A,-35%,+14%
Staunton,-31%,-15%,N/A,N/A,-30%,+0%
Suffolk,-33%,+1%,-16%,+10%,-29%,+11%
Surry County,N/A,N/A,N/A,N/A,-46%,N/A
Sussex County,-47%,+22%,N/A,-52%,-32%,N/A
Tazewell County,-14%,-8%,N/A,N/A,-18%,+11%
Virginia Beach,-40%,-11%,+5%,-29%,-37%,+13%
Warren County,-24%,-11%,N/A,N/A,-30%,+21%
Washington County,-49%,-9%,N/A,-33%,-24%,+18%
Waynesboro,-34%,-24%,N/A,N/A,-28%,-1%
Westmoreland County,-41%,+6%,N/A,N/A,-26%,N/A
Williamsburg,-72%,-38%,N/A,N/A,-47%,N/A
Winchester,-52%,-22%,-67%,N/A,-36%,+9%
Wise County,-28%,-17%,N/A,N/A,-27%,+6%
Wythe County,-43%,-5%,N/A,-24%,-23%,-2%
York County,-29%,-7%,-15%,N/A,-42%,+26%
