X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Harrison County,-81%,-20%,N/A,-14%,-32%,N/A
Henry County,-34%,+11%,N/A,N/A,-20%,-1%
Hickory County,N/A,N/A,N/A,N/A,-25%,N/A
Howard County,N/A,N/A,N/A,N/A,-33%,N/A
Howell County,-43%,-5%,N/A,-12%,-23%,+13%
Iron County,-60%,+10%,+44%,N/A,-32%,N/A
Jackson County,-46%,-3%,-6%,-10%,-37%,+12%
Jasper County,-40%,-1%,+1%,-17%,-30%,+11%
Jefferson County,-38%,+5%,+6%,-3%,-32%,+13%
Johnson County,-41%,+10%,N/A,N/A,-29%,+19%
Laclede County,-37%,-3%,N/A,N/A,-26%,+15%
Lafayette County,-31%,-3%,N/A,-18%,-27%,+15%
Lawrence County,-18%,+18%,N/A,-31%,-29%,+12%
Lewis County,-27%,N/A,N/A,N/A,-41%,N/A
Lincoln County,-36%,+14%,N/A,N/A,-30%,+19%
Linn County,-32%,-4%,N/A,N/A,-29%,N/A
Livingston County,-11%,+11%,N/A,N/A,-23%,N/A
Macon County,-20%,+6%,N/A,-20%,-25%,N/A
Madison County,-19%,N/A,N/A,N/A,-30%,N/A
Maries County,N/A,N/A,N/A,N/A,-38%,N/A
Marion County,-38%,-2%,N/A,-38%,-29%,+13%
McDonald County,-28%,+1%,N/A,N/A,-16%,-4%
Miller County,-34%,+13%,-32%,N/A,-29%,-3%
Mississippi County,-48%,N/A,N/A,-41%,-26%,N/A
Moniteau County,-22%,+23%,N/A,N/A,-38%,N/A
Monroe County,-61%,N/A,N/A,N/A,-37%,N/A
Montgomery County,-54%,+2%,N/A,N/A,-30%,N/A
Morgan County,-26%,+21%,N/A,N/A,-26%,N/A
New Madrid County,-28%,+7%,N/A,-37%,-12%,N/A
Newton County,-43%,-7%,+52%,-24%,-28%,+16%
Nodaway County,-40%,-17%,N/A,N/A,-25%,N/A
Oregon County,-9%,+2%,N/A,N/A,-33%,N/A
Osage County,-74%,-7%,N/A,N/A,-44%,N/A
Ozark County,N/A,N/A,N/A,N/A,-32%,N/A
Pemiscot County,-34%,+22%,N/A,-40%,-17%,N/A
Perry County,-42%,-16%,N/A,N/A,-19%,N/A
Pettis County,-38%,-1%,N/A,N/A,-29%,+17%
Phelps County,-49%,-8%,N/A,-26%,-26%,+18%
Pike County,-38%,-11%,N/A,N/A,-13%,N/A
Platte County,-55%,+26%,+8%,-83%,-36%,+14%
Polk County,-37%,-2%,-46%,N/A,-24%,+12%
Pulaski County,-40%,-6%,N/A,-60%,-17%,+16%
Putnam County,N/A,N/A,N/A,N/A,-33%,N/A
Ralls County,-54%,N/A,N/A,-17%,-33%,N/A
Randolph County,-35%,-8%,N/A,N/A,-15%,+1%
Ray County,-32%,+5%,N/A,N/A,-34%,+7%
Ripley County,-5%,-2%,N/A,N/A,-43%,N/A
Saline County,-30%,+1%,N/A,N/A,-19%,+0%
Schuyler County,N/A,N/A,N/A,N/A,-33%,N/A
Scott County,-40%,+6%,N/A,-27%,-20%,+15%
Shannon County,N/A,N/A,N/A,N/A,-40%,N/A
Shelby County,N/A,N/A,N/A,N/A,-28%,N/A
St. Charles County,-50%,+6%,+24%,-23%,-39%,+14%
St. Clair County,-14%,+8%,N/A,-25%,-33%,N/A
St. Francois County,-36%,+4%,-29%,N/A,-22%,+15%
St. Louis,-62%,-4%,-33%,-40%,-40%,+14%
St. Louis County,-49%,-5%,-5%,-55%,-39%,+15%
Ste. Genevieve County,-41%,N/A,N/A,-20%,-20%,N/A
Stoddard County,-32%,-2%,N/A,N/A,-15%,-2%
Stone County,-20%,+14%,N/A,N/A,-32%,+9%
Sullivan County,N/A,N/A,N/A,N/A,-7%,N/A
Taney County,-57%,-4%,-27%,N/A,-48%,+16%
Texas County,-76%,+97%,N/A,N/A,-18%,N/A
Vernon County,-35%,+6%,N/A,-29%,-14%,N/A
Warren County,-27%,+6%,N/A,-15%,-31%,+18%
Washington County,-9%,+20%,N/A,N/A,-18%,N/A
Wayne County,+0%,+9%,N/A,N/A,-39%,N/A
Webster County,-31%,+4%,N/A,-36%,-27%,+13%
