X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Richmond County,-33%,+40%,N/A,N/A,-24%,+11%
Robeson County,-29%,+7%,N/A,-40%,-23%,+7%
Rockingham County,-23%,+6%,N/A,-34%,-30%,+10%
Rowan County,-39%,+2%,+35%,-27%,-33%,+10%
Rutherford County,-31%,+4%,+9%,N/A,-26%,+17%
Sampson County,-23%,+8%,N/A,N/A,-27%,+17%
Scotland County,-21%,-7%,N/A,N/A,-30%,+12%
Stanly County,-28%,+1%,N/A,N/A,-33%,+20%
Stokes County,-29%,+15%,-22%,N/A,-30%,+15%
Surry County,-30%,+4%,-11%,-31%,-29%,+19%
Swain County,-75%,+0%,-25%,N/A,-56%,N/A
Transylvania County,-25%,-19%,-8%,N/A,-24%,+6%
Union County,-35%,+0%,-14%,-31%,-35%,+13%
Vance County,-29%,+5%,N/A,N/A,-30%,+19%
Wake County,-49%,-18%,+26%,-71%,-40%,+15%
Warren County,-4%,+7%,N/A,N/A,-23%,N/A
Washington County,-29%,+4%,N/A,N/A,-38%,N/A
Watauga County,-62%,-32%,+28%,N/A,-43%,+18%
Wayne County,-35%,+0%,-37%,-29%,-30%,+9%
Wilkes County,-36%,+14%,-26%,N/A,-35%,+17%
Wilson County,-32%,+3%,-11%,N/A,-25%,+10%
Yadkin County,-46%,+0%,N/A,N/A,-35%,+15%
Yancey County,-41%,-5%,N/A,N/A,-19%,N/A
