Goverment Unit,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Hancock County,N/A,-17%,N/A,N/A,-42%,N/A
Haralson County,-69%,+26%,-35%,-31%,-28%,+8%
Harris County,-35%,+0%,+0%,N/A,-29%,+13%
Hart County,-32%,-11%,N/A,N/A,-29%,N/A
Heard County,N/A,-15%,N/A,N/A,-47%,N/A
Henry County,-39%,+4%,-6%,N/A,-38%,+15%
Houston County,-42%,-9%,-8%,N/A,-34%,+12%
Irwin County,N/A,-14%,N/A,N/A,-48%,N/A
Jackson County,-53%,-16%,N/A,-19%,-22%,+20%
Jasper County,-47%,-13%,N/A,N/A,-23%,N/A
Jeff Davis County,-41%,-18%,N/A,N/A,-23%,N/A
Jefferson County,-42%,-13%,N/A,N/A,-21%,N/A
Jenkins County,-42%,-17%,N/A,N/A,-43%,N/A
Johnson County,N/A,-13%,N/A,N/A,-42%,N/A
Jones County,-37%,-14%,N/A,N/A,-35%,+8%
Lamar County,-49%,-14%,N/A,N/A,-39%,N/A
Lanier County,-62%,-15%,N/A,N/A,-47%,N/A
Laurens County,-40%,-10%,N/A,-27%,-25%,+17%
Lee County,-39%,-24%,N/A,N/A,-34%,+11%
Liberty County,-32%,-5%,-22%,-30%,-32%,+11%
Lincoln County,N/A,N/A,N/A,N/A,-37%,N/A
Long County,N/A,N/A,N/A,N/A,-27%,N/A
Lowndes County,-42%,-10%,-33%,-41%,-29%,+11%
Lumpkin County,-38%,+16%,N/A,N/A,-33%,+6%
Macon County,-59%,-16%,N/A,N/A,-38%,N/A
Madison County,-56%,+4%,N/A,N/A,-29%,+8%
Marion County,N/A,-9%,N/A,N/A,-39%,N/A
McDuffie County,-17%,-2%,N/A,-41%,-27%,N/A
McIntosh County,-59%,-9%,N/A,N/A,-32%,N/A
Meriwether County,-45%,-7%,N/A,N/A,-31%,N/A
Miller County,-58%,N/A,N/A,N/A,-40%,N/A
Mitchell County,-34%,-28%,N/A,N/A,-29%,N/A
Monroe County,-39%,-3%,-2%,-60%,-35%,-2%
Montgomery County,N/A,-5%,N/A,N/A,-37%,N/A
Morgan County,-30%,-18%,N/A,-34%,-33%,N/A
Murray County,-29%,+3%,N/A,N/A,-39%,+19%
Muscogee County,-44%,-1%,+12%,-62%,-31%,+11%
Newton County,-24%,+10%,-8%,N/A,-35%,+13%
Oconee County,-47%,-27%,N/A,N/A,-32%,+0%
Oglethorpe County,N/A,-12%,N/A,N/A,-34%,N/A
Paulding County,-33%,-10%,-47%,N/A,-36%,+13%
Peach County,-40%,-7%,N/A,-38%,-33%,+7%
Pickens County,-23%,+8%,N/A,N/A,-31%,+9%
Pierce County,-61%,-23%,N/A,N/A,-19%,N/A
Pike County,-54%,-11%,N/A,N/A,-34%,N/A
Polk County,-16%,-3%,N/A,N/A,-33%,+18%
Pulaski County,-65%,-26%,N/A,N/A,-42%,N/A
Putnam County,-33%,-9%,N/A,-59%,-24%,N/A
Rabun County,-52%,-20%,+11%,N/A,-31%,N/A
Randolph County,-64%,N/A,N/A,N/A,-56%,N/A
Richmond County,-44%,-4%,-4%,-35%,-34%,+12%
Rockdale County,-35%,+13%,-4%,N/A,-36%,+14%
Schley County,N/A,N/A,N/A,N/A,-51%,N/A
Screven County,-67%,-21%,N/A,N/A,-44%,N/A
Seminole County,-31%,-16%,N/A,N/A,-38%,N/A
Spalding County,-28%,+1%,N/A,N/A,-30%,+19%
Stephens County,-23%,-6%,N/A,N/A,-29%,+1%
Sumter County,-31%,-25%,N/A,N/A,-21%,+1%
Talbot County,N/A,N/A,-9%,N/A,-48%,N/A
Tattnall County,-41%,-11%,N/A,N/A,-14%,N/A
Taylor County,N/A,-7%,N/A,N/A,-36%,N/A
Telfair County,-73%,-15%,N/A,N/A,-37%,N/A
Terrell County,-67%,-23%,N/A,N/A,-41%,N/A
Thomas County,-38%,-3%,N/A,N/A,-29%,+22%
Tift County,-43%,-17%,N/A,-35%,-30%,+14%
Toombs County,-34%,-6%,N/A,N/A,-26%,-2%
Towns County,-55%,-15%,N/A,N/A,-37%,N/A
Treutlen County,N/A,-17%,N/A,N/A,-41%,N/A
Troup County,-35%,+6%,N/A,-41%,-40%,+24%
Turner County,-71%,+8%,N/A,-46%,-42%,N/A
Twiggs County,N/A,N/A,N/A,N/A,-42%,N/A
Union County,-32%,-8%,-10%,N/A,-33%,N/A
Upson County,-26%,-10%,N/A,N/A,-26%,-4%
Walker County,-17%,+20%,-33%,N/A,-29%,+20%
Walton County,-21%,+22%,N/A,N/A,-33%,+11%
Ware County,-39%,-13%,N/A,N/A,-28%,+11%
Warren County,N/A,N/A,N/A,N/A,-53%,N/A
Washington County,-31%,-34%,N/A,N/A,-23%,N/A
Wayne County,-31%,-15%,N/A,N/A,-21%,-2%
White County,-44%,-17%,-28%,N/A,-36%,+9%
Whitfield County,-35%,+0%,+6%,-36%,-41%,+12%
Wilcox County,N/A,-6%,N/A,N/A,-50%,N/A
Wilkes County,-43%,-11%,N/A,N/A,-31%,N/A
Wilkinson County,N/A,-3%,N/A,N/A,-46%,N/A
