X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Hopkins County,-38%,-3%,N/A,-40%,-26%,+16%
Jackson County,N/A,N/A,N/A,N/A,-46%,N/A
Jefferson County,-44%,+5%,+104%,-27%,-40%,+12%
Jessamine County,-40%,-9%,N/A,-15%,-28%,+20%
Johnson County,-40%,+62%,N/A,N/A,-30%,N/A
Kenton County,-37%,+3%,+37%,-9%,-37%,+13%
Knott County,N/A,N/A,N/A,N/A,-43%,N/A
Knox County,-23%,+13%,N/A,N/A,-25%,N/A
Larue County,-24%,+12%,N/A,N/A,-30%,N/A
Laurel County,-41%,+3%,+57%,-61%,-32%,+17%
Lawrence County,-28%,-28%,N/A,N/A,-27%,N/A
Letcher County,-25%,+0%,N/A,N/A,-43%,N/A
Lewis County,N/A,-14%,N/A,N/A,-37%,N/A
Lincoln County,-12%,+38%,N/A,N/A,-22%,N/A
Livingston County,N/A,+17%,N/A,N/A,-37%,N/A
Logan County,-17%,+12%,N/A,N/A,-27%,N/A
Lyon County,-43%,N/A,N/A,N/A,-47%,N/A
Madison County,-41%,-3%,N/A,-17%,-39%,+10%
Marion County,-24%,+3%,N/A,N/A,-39%,N/A
Marshall County,-33%,+5%,N/A,-31%,-23%,+9%
Mason County,-26%,N/A,N/A,N/A,-26%,N/A
McCracken County,-51%,-8%,-25%,-26%,-30%,+19%
McCreary County,-14%,+15%,N/A,N/A,-39%,N/A
McLean County,N/A,N/A,N/A,N/A,-45%,N/A
Meade County,-20%,+8%,N/A,N/A,-38%,+8%
Menifee County,N/A,N/A,N/A,N/A,-46%,N/A
Mercer County,-26%,-9%,N/A,N/A,-35%,N/A
Metcalfe County,N/A,-16%,N/A,N/A,-47%,N/A
Monroe County,-7%,N/A,N/A,N/A,-34%,N/A
Montgomery County,-30%,+10%,N/A,-22%,-34%,-3%
Morgan County,-59%,N/A,N/A,N/A,-48%,N/A
Muhlenberg County,-27%,+15%,N/A,N/A,-25%,N/A
Nelson County,-32%,+5%,N/A,N/A,-37%,+18%
Nicholas County,N/A,N/A,N/A,N/A,-45%,N/A
Ohio County,-23%,+29%,N/A,-45%,-20%,N/A
Oldham County,-30%,+19%,N/A,N/A,-30%,+25%
Owen County,N/A,N/A,N/A,N/A,-52%,N/A
Pendleton County,+0%,-12%,N/A,N/A,-25%,N/A
Perry County,-37%,-5%,N/A,N/A,-23%,N/A
Pike County,-46%,-22%,N/A,N/A,-21%,N/A
Powell County,+0%,-2%,N/A,N/A,-43%,N/A
Pulaski County,-39%,-9%,N/A,N/A,-33%,+19%
Rockcastle County,-43%,-4%,N/A,N/A,-24%,N/A
Rowan County,-30%,+8%,N/A,N/A,-27%,N/A
Russell County,-20%,+23%,N/A,N/A,-45%,N/A
Scott County,-39%,-13%,N/A,-43%,-41%,+27%
Shelby County,-43%,+11%,N/A,-31%,-43%,+20%
Simpson County,-29%,-2%,N/A,-38%,-38%,N/A
Spencer County,-20%,+6%,N/A,N/A,-31%,N/A
Taylor County,-28%,+28%,N/A,N/A,-26%,N/A
Todd County,-52%,+15%,N/A,N/A,-51%,N/A
Trigg County,-33%,+17%,N/A,N/A,-50%,N/A
Trimble County,N/A,N/A,N/A,N/A,-50%,N/A
Union County,-23%,+6%,N/A,N/A,-56%,N/A
Warren County,-45%,-13%,-43%,-14%,-37%,+12%
Washington County,-29%,N/A,N/A,N/A,-59%,N/A
Wayne County,-11%,-11%,N/A,N/A,-32%,N/A
Webster County,-34%,+10%,N/A,N/A,-34%,N/A
Whitley County,-38%,+6%,N/A,-14%,-27%,-3%
Wolfe County,N/A,N/A,N/A,N/A,-49%,N/A
